ppNumber,Gender,Age,Handedness,VRExperience,PilotingExperience,Occupation,Nationality,NASA-TLX DESKTOP,NASA-TLX VR,SIM-TLX DESKTOP,SIM-TLX VR,SUS DESKTOP,SUS VR,SSQ DESKTOP,SSQ VR,Presence DESKTOP,Presence VR,Negativeeffects DESKTOP,Negativeeffects VR,Naturalness DESKTOP,Naturalness VR,Engagement DESKTOP,Engagement VR,DESKTOP_Roll_RMSE,DESKTOP_Pitch_RMSE,VR_Roll_RMSE,VR_Pitch_RMSE
20210920_pp01_0101,1,22,2,1,1,Student,Dutch,16,50.1666666666667,11.2222222222222,40.5555555555556,80,80,22.44,33.66,1.63157894736842,3.15,2,2.16666666666667,3,3.4,3.07692307692308,3.76923076923077,0.0225516927686262,0.0330717003625864,0.068743769321993,0.0391649939687539
20210921_pp02_0102,1,19,1,2,1,Student,Malaysian,48.3333333333333,56,41.1111111111111,46.1111111111111,42.5,42.5,18.7,22.44,2.05263157894737,3.8,2.5,3.5,1.8,3.2,3.38461538461538,4.23076923076923,0.0557931538040439,0.16464205532016,0.0849954016599602,0.0973501774477107
20210923_pp03_0201,2,21,1,2,1,Student,Dutch,65.5,70.1666666666667,56.1111111111111,57.8888888888889,65,60,63.58,71.06,2.95,2.84210526315789,1.66666666666667,1.83333333333333,3.4,3.6,2.61538461538462,3.07692307692308,0.330246438704544,0.129456721046752,0.138879908767569,0.145969713493794
20210927_pp04_0202,1,22,1,2,3,student,Dutch,29,32.1666666666667,27.1111111111111,33,80,77.5,11.22,44.88,2.7,3.42105263157895,1.5,2.5,2.4,3,3,4,0.0293682102472479,0.0492377074701983,0.0599730158066802,0.112037251163768
20210927_pp05_0101,1,27,1,1,1,Student,Chinese,8,26,1,8.44444444444444,77.5,77.5,0,0,2,3,1,1,2.6,2.4,2.46153846153846,2.84615384615385,0.0409323498511521,0.0453226101909971,0.0785727981995308,0.0454714176872067
20210928_pp06_0102,2,21,1,1,1,Student,Dutch,48.8333333333333,47,34.1111111111111,25.4444444444444,50,50,14.96,29.92,1.63157894736842,3.2,2.16666666666667,1.83333333333333,2.4,2.8,2.61538461538462,3.38461538461538,0.123062286055475,0.19865431122278,0.0338710798561902,0.0386066777595085
20210928_pp07_0201,1,20,1,2,2,none,Dutch,32.8333333333333,48.8333333333333,16.6666666666667,18.2222222222222,75,70,0,3.74,3.25,3.31578947368421,1.5,2,3.6,3.6,3.92307692307692,4,0.040270017847671,0.020154274755404,0.0292776362135446,0.0335920927089963
20210928_pp08_0202,1,19,1,2,1,student,romanian,0.666666666666667,12.6666666666667,0,3.33333333333333,75,85,0,7.48,1.25,3.10526315789474,1.33333333333333,1,2.6,3,2,3.23076923076923,0.0716980131245038,0.142053136449345,0.229588586640481,0.081341145200387
20210930_pp09_0101,2,20,1,3,1,Student,Belgian,37.3333333333333,49.5,29.7777777777778,39.2222222222222,72.5,72.5,22.44,63.58,2.84210526315789,3.45,1.33333333333333,2.5,3,3.4,4.15384615384615,3.92307692307692,0.0881766861685528,0.0997461178032026,0.0872071374705902,0.0524468184524129
20210930_pp10_0102,2,25,1,1,1,Student,Greek,32.3333333333333,35.8333333333333,24.8888888888889,23.3333333333333,55,55,29.92,11.22,3.10526315789474,3.7,2.5,2.16666666666667,3.2,3.6,3,3.84615384615385,0.0576381083920459,0.21865960072528,0.0501192656966035,0.083770061819778
20211004_pp11_0201,1,29,1,2,1,Student,Albanian,41.8333333333333,19.3333333333333,48.1111111111111,16.1111111111111,65,82.5,0,7.48,2.2,3.78947368421053,2,1.5,3.2,4.2,2.38461538461538,4.30769230769231,0.219646733789534,0.138003428115474,0.0476457761883503,0.110149352363412
20211004_pp12_0202,2,19,1,1,1,student,Bulgarian,51.1666666666667,54,25.7777777777778,29.7777777777778,87.5,82.5,0,0,2.8,3.47368421052632,1.83333333333333,1.83333333333333,3.4,4,3.84615384615385,3.76923076923077,0.0595707174524902,0.253256060411445,0.216098742344575,0.17232724128811
20211004_pp13_0101,1,24,1,1,1,Student,Dutch,24.3333333333333,45,13.7777777777778,21.4444444444444,70,70,26.18,22.44,1.78947368421053,3.5,1.66666666666667,1.83333333333333,2,3.4,3.30769230769231,4.07692307692308,0.0204897098382115,0.0243439667107862,0.0950110336128623,0.0589064279527886
20211005_pp14_0102,1,23,1,1,1,student,south korean,41,20,8.66666666666667,24.8888888888889,60,60,14.96,37.4,2,3.05,1.5,2.5,2.4,2.8,2.84615384615385,2.92307692307692,0.0702043093188798,0.149564615298421,0.12287545620552,0.0517095165419206
20211005_pp15_0201,2,19,1,1,1,student,chinese,40.1666666666667,32,40.8888888888889,48,45,52.5,0,7.48,1.7,3.89473684210526,2,2.83333333333333,1.4,3.6,2.69230769230769,3.76923076923077,0.176680593286237,0.155320447523873,0.130244767230374,0.137152888055849
